City_ID,City,Lat,Lng,Max Temp,Humidity,Pressure,Cloudiness,Wind Speed,Country,Date
260,kristiansund,63.1115,7.732,57.25,93.0,1012.0,16.0,5.75,NO,1720915410.0
261,bobo-dioulasso,11.1771,-4.2979,79.25,78.0,1013.0,20.0,4.61,BF,1720915411.0
262,tchintabaraden,15.8969,5.7985,92.75,39.0,1010.0,75.0,15.88,NE,1720915412.0
263,kapa'a,22.0752,-159.319,84.18,67.0,1019.0,82.0,5.99,US,1720915413.0
264,lihue,21.9789,-159.3672,83.44,69.0,1019.0,68.0,15.01,US,1720915414.0
265,kolonia,50.9333,6.95,57.96,88.0,1014.0,13.0,3.13,DE,1720915416.0
266,qaqortoq,60.7167,-46.0333,40.51,93.0,1000.0,100.0,2.86,GL,1720915417.0
267,guerrero negro,27.9769,-114.0611,74.53,65.0,1012.0,14.0,14.9,MX,1720915418.0
268,adrar,20.5022,-10.0711,93.63,26.0,1007.0,50.0,17.78,MR,1720915419.0
269,rongelap,11.1635,166.8941,82.76,83.0,1010.0,93.0,22.93,MH,1720915421.0
270,bardai,11.65,7.2333,73.56,82.0,1013.0,91.0,9.33,NG,1720915422.0
271,whitehorse,60.7161,-135.0538,61.57,48.0,1012.0,75.0,19.57,CA,1720915423.0
272,saint croix,17.7397,-64.7388,81.95,88.0,1018.0,100.0,5.01,VI,1720915424.0
273,happy valley-goose bay,53.3168,-60.3315,68.31,40.0,1014.0,20.0,12.66,CA,1720915426.0
274,carqueiranne,43.0953,6.073,72.07,49.0,1011.0,73.0,11.9,FR,1720915427.0
275,steinbach,50.1667,8.5667,61.34,78.0,1014.0,18.0,4.61,DE,1720915428.0
276,hinatuan,8.3722,126.3342,79.11,87.0,1009.0,97.0,6.15,PH,1720915429.0
277,sernur,56.9333,49.1536,50.18,75.0,1016.0,68.0,3.24,RU,1720915430.0
278,port hueneme,34.1478,-119.1951,86.45,74.0,1014.0,0.0,6.91,US,1720915431.0
279,savanna-la-mar,18.219,-78.1332,85.95,85.0,1016.0,85.0,2.35,JM,1720915433.0
280,yanbu,24.0891,38.0637,102.24,12.0,1001.0,0.0,12.66,SA,1720915367.0
281,ofunato,39.0717,141.7167,74.48,67.0,1016.0,95.0,4.83,JP,1720915435.0
282,mossel bay,-34.1831,22.146,51.73,70.0,1018.0,89.0,10.49,ZA,1720915436.0
283,queenstown,-31.8976,26.8753,47.7,35.0,1017.0,62.0,7.61,ZA,1720915437.0
284,tolanaro,-25.0319,46.9987,69.87,78.0,1022.0,0.0,16.11,MG,1720915438.0
285,calvinia,-31.4707,19.776,39.94,89.0,1023.0,92.0,12.41,ZA,1720915440.0
